horizon,model,subset,route,finite_ratio_iqm,finite_ratio_global_iqm,finite_ratio_n,finite_ratio_n_systems,censored_log10_iqm_ratio,K,N,censor_finite_finite,censor_routed_invalid_global_finite_loss,censor_missing_row_neutral,censor_both_invalid_neutral,censor_routed_finite_global_invalid_win
H100,"Sparse MLP, BD",deep,support_gated_k,0.8294543671985805,0.9048865328311159,78,13,5.655420665449012e+24,0,17,78,157.0,20.0,,
H100,"Sparse MLP, BD",deep,support_local_centered,0.8028714410852575,0.8901064825516921,78,13,1.7629202319454725e+25,0,17,78,157.0,20.0,,
H100,"Sparse MLP, BD",deep,family_local_centered,0.09096724166777215,0.1480729644118328,235,16,0.03934526823524687,5,17,235,,20.0,,
H100,Sparse MLP,all,support_gated_k,0.8579254051409632,0.9248026854432002,75,12,3.3102798652190986e+28,0,17,75,180.0,,,
H100,Sparse MLP,all,support_local_centered,0.7560279889350138,0.7923041572178708,75,12,3.455107294592232e+29,1,17,75,180.0,,,
H100,Sparse MLP,all,family_local_centered,0.6731448730952359,0.22526703755085026,255,17,0.04717540492488589,6,17,255,,,,
H100,Sparse MLP,deep,support_gated_k,0.8465334506535024,0.9083532620486948,75,12,5.719186217578008e+25,0,17,75,165.0,15.0,,
H100,Sparse MLP,deep,support_local_centered,0.7919900101930569,0.8901864514397675,75,12,1.8563429267762092e+26,1,17,75,165.0,15.0,,
H100,Sparse MLP,deep,family_local_centered,0.6605577608075005,0.19029193041854556,240,16,0.04011480314700858,4,17,240,,15.0,,
H100,Dense MLP,all,support_gated_k,0.981233682101968,0.9881184967272961,194,17,1.2368958959266838,0,17,194,61.0,,,
H100,Dense MLP,all,support_local_centered,0.993086255311047,0.9979908018962949,194,17,1.404301787125426,0,17,194,61.0,,,
H100,Dense MLP,all,family_local_centered,1043.638907878629,744.6801646183575,255,17,186.78546072266536,0,17,255,,,,
H100,Dense MLP,deep,support_gated_k,0.9912105166529033,0.9883583174666551,179,16,1.0358483023896567,0,17,179,61.0,15.0,,
H100,Dense MLP,deep,support_local_centered,0.9892975427218275,0.9933684421337909,179,16,1.1143312421895002,0,17,179,61.0,15.0,,
H100,Dense MLP,deep,family_local_centered,661.8658364349116,547.1177460299255,240,16,82.41684612294655,0,17,240,,15.0,,
H1000,LISTA-SB,all,support_gated_k,0.7784436462088957,0.8066966611902521,26,9,1.8368950453703485e-19,8,17,26,59.0,,75.0,95.0
H1000,LISTA-SB,all,support_local_centered,0.7565544095169872,0.8008032279899752,26,9,3.6364527158978984e-19,8,17,26,59.0,,76.0,94.0
H1000,LISTA-SB,all,family_local_centered,0.000730912439123562,0.017302760447328057,85,10,4.657767131329229e-36,15,17,85,,,1.0,169.0
H1000,LISTA-SB,deep,support_gated_k,0.8499015373645619,0.857462752802043,21,8,3.6369169124966797e-17,8,17,21,49.0,15.0,81.0,89.0
H1000,LISTA-SB,deep,support_local_centered,0.837762335441754,0.843807719053467,21,8,1.299949416628582e-16,7,17,21,49.0,15.0,84.0,86.0
H1000,LISTA-SB,deep,family_local_centered,0.001094345669624922,5.025865400917605e-05,70,9,8.884849941640953e-37,15,17,70,,15.0,1.0,169.0
H1000,LISTA-BD,all,support_gated_k,0.845994179530417,0.8652551555064631,37,8,5.445286666061375e-17,8,17,37,45.0,,85.0,88.0
H1000,LISTA-BD,all,support_local_centered,0.846933239642419,0.8654506579041675,37,8,1.7736539139191946e-16,8,17,37,45.0,,87.0,86.0
H1000,LISTA-BD,all,family_local_centered,0.013165967707079227,0.0032019542595590382,82,8,1.0687372717239236e-36,15,17,82,,,,173.0
H1000,LISTA-BD,deep,support_gated_k,0.7325241830423135,0.7623903135563445,30,7,9.88000660608879e-16,7,17,30,35.0,15.0,89.0,86.0
H1000,LISTA-BD,deep,support_local_centered,0.7556778056133213,0.77147615478077,30,7,6.329198653842794e-15,8,17,30,35.0,15.0,93.0,82.0
H1000,LISTA-BD,deep,family_local_centered,9.340259535664639e-05,0.00013112349666975984,65,7,1.998923650464976e-37,15,17,65,,15.0,,175.0
H1000,"Sparse MLP, BD",all,support_gated_k,0.9457756853668973,0.9624406440614409,11,4,1.0,2,17,11,25.0,7.0,159.0,53.0
H1000,"Sparse MLP, BD",all,support_local_centered,0.9153693026486924,0.9098241205779894,11,4,1.0,2,17,11,25.0,7.0,164.0,48.0
H1000,"Sparse MLP, BD",all,family_local_centered,131.03952903609127,0.008312933985605748,36,12,1e-38,17,17,36,,7.0,1.0,211.0
H1000,"Sparse MLP, BD",deep,support_gated_k,0.9910694933615175,0.9880926578153567,11,4,1.0,1,17,11,24.0,20.0,153.0,47.0
H1000,"Sparse MLP, BD",deep,support_local_centered,0.9615503055353266,0.9734131042524795,11,4,1.0,1,17,11,24.0,20.0,155.0,45.0
H1000,"Sparse MLP, BD",deep,family_local_centered,0.23251632826899674,0.0009055079390048528,35,11,1e-38,16,17,35,,20.0,8.0,192.0
H1000,Sparse MLP,all,support_gated_k,0.9445116095271331,0.9540136058053774,16,5,1.0,1,17,16,23.0,,169.0,47.0
H1000,Sparse MLP,all,support_local_centered,0.8770206936060871,0.8198526040117022,16,5,1.0,1,17,16,23.0,,173.0,43.0
H1000,Sparse MLP,all,family_local_centered,1605.332138849715,0.2850448549587838,39,12,1e-38,17,17,39,,,1.0,215.0
H1000,Sparse MLP,deep,support_gated_k,0.8707840521780785,0.9360397008905362,16,5,1.0,1,17,16,22.0,15.0,162.0,40.0
H1000,Sparse MLP,deep,support_local_centered,0.8104736594416667,0.8639860509822941,16,5,1.0,1,17,16,22.0,15.0,163.0,39.0
H1000,Sparse MLP,deep,family_local_centered,118.85916095365616,0.055322677450666755,38,12,1e-38,16,17,38,,15.0,7.0,195.0
H1000,Dense MLP,all,support_gated_k,0.8861059811077312,0.9110557588850072,186,16,0.9484827045683414,0,17,186,50.0,,13.0,6.0
H1000,Dense MLP,all,support_local_centered,0.9700149698032586,0.9688558000560777,186,16,0.9912914732703626,0,17,186,50.0,,13.0,6.0
H1000,Dense MLP,all,family_local_centered,674.7474474992822,617.2419939680806,236,16,56.5135717029279,1,17,236,,,1.0,18.0
H1000,Dense MLP,deep,support_gated_k,0.9033793858949456,0.9282834640548405,171,15,0.9866205989746043,0,17,171,50.0,15.0,15.0,4.0
H1000,Dense MLP,deep,support_local_centered,0.9724841994043593,0.9779879149321092,171,15,0.999446937664467,0,17,171,50.0,15.0,13.0,6.0
H1000,Dense MLP,deep,family_local_centered,533.2507571054405,571.9027565895398,221,15,33.12803533257824,1,17,221,,15.0,1.0,18.0
