root_label,display,horizon,ratio_mean,ratio_iqm,ratio_q25,ratio_q75,ratio_seed_bootstrap_ci95_low,ratio_seed_bootstrap_ci95_high,ratio_seed_bootstrap_se,ratio_hierarchical_bootstrap_ci95_low,ratio_hierarchical_bootstrap_ci95_high,ratio_hierarchical_bootstrap_se,ratio_seed_bootstrap_reps,n_systems
lista_sb,LISTA-SB,500,1.0258417979745797,1.0258417979745797,0.7559023316696021,1.0476503795605936,0.733878499795442,8.11533561849492,4.328727703615391,0.6101576252855754,7.401475961690552,6.07448035118162,10000,10
lista_sb,LISTA-SB,1000,1.0193850122581818,1.0193850122581818,0.5918014395898294,0.985469728732401,0.7360759444987333,17.75147127128895,192.202002483381,0.5945603807628456,15.904128514683181,210.98492528811926,10000,10
lista_sb,LISTA-SB,1500,1.0880605499578127,1.0880605499578127,0.658565519923422,0.9436941747448279,0.7541282701749047,207.4329999752837,9425.587347943077,0.6035534399644326,138.7678547335537,13216.682066902826,10000,10
lista_sb,LISTA-SB,2000,1.1566055107449031,1.1566055107449031,0.7001349412711546,0.9031556125677903,0.7418411817153976,4544.2719194301535,1645612.0964342488,0.5985280580405528,2983.01054470721,2783924.1146920226,10000,10
lista_sb,LISTA-SB,3000,1.2643238691307184,1.2643238691307184,0.7188054243892315,0.9126526522464997,0.7831727598910065,4804003.678062331,342057871863.95355,0.6591314463265354,3441499.9844282866,477450743780.29553,10000,10
lista_sb,LISTA-SB,4000,1.0860527473966908,1.0860527473966908,0.8270096686321229,1.0224658588608786,0.8227478679691367,8356136639.143789,7.54459240031734e+16,0.7185784930942902,5220014382.326889,7.87771120487354e+16,10000,10
lista_sb,LISTA-SB,5000,1.0060993334526542,1.0060993334526542,0.8416070689553976,1.0071511423853812,0.8253666284296862,24901063332258.496,2.3560585745817066e+22,0.7390272072118954,16778037439637.166,2.3906464207425075e+22,10000,10
sparse_mlp,Sparse MLP,100,0.4622229146476237,0.4622229146476237,0.36683568992003024,0.5835280129767422,0.3388168847234795,0.6722291244226979,0.08424118958728635,0.2773677706140502,0.7713487647632148,0.12836983029581553,10000,10
sparse_mlp,Sparse MLP,500,0.4989035228121367,0.4989035228121367,0.4311519121506545,0.570528326939701,0.39673684970405954,0.7361226695352903,0.09121150846068997,0.33019689420555765,0.8283646822161997,0.13287360392785857,10000,10
sparse_mlp,Sparse MLP,1000,0.5007179353962681,0.5007179353962681,0.45535226503650805,0.6177228305744905,0.4139962546402882,0.7899717744728472,0.09702758668758653,0.3410206640431179,0.9157845442807694,0.15010035861976698,10000,10
sparse_mlp,Sparse MLP,1500,0.5633659603126013,0.5633659603126013,0.4084313793619361,0.7525276059317402,0.46525197726725903,0.8090578311796517,0.08957972562617895,0.38055840003331926,0.9497927170683648,0.14363265390029223,10000,10
sparse_mlp,Sparse MLP,2000,0.5659189391552714,0.5659189391552714,0.4096691551699833,0.7319003751659551,0.4751256236178345,0.8043456649938961,0.08543180806686199,0.3936208892525491,0.9341044798507148,0.14178376789723682,10000,10
sparse_mlp,Sparse MLP,3000,0.6095496939854766,0.6095496939854766,0.5121858058247201,0.7091280660219742,0.5077757851759532,0.8432045596565595,0.08855562853151278,0.43249503254612953,0.9847169250229452,0.1436601943058188,10000,10
sparse_mlp,Sparse MLP,4000,0.6851938393785832,0.6851938393785832,0.5706224728557956,0.7546184235695389,0.5589245845285806,0.9063378018720903,0.09189623611133436,0.4956123377222626,1.0701996476190037,0.14541368747174221,10000,10
sparse_mlp,Sparse MLP,5000,0.7387954892664494,0.7387954892664494,0.6338934986374273,0.7533302114764161,0.6083651522691534,0.9615939588414201,0.09516519973143192,0.5451627060090259,1.1470239793792267,0.15544521183692897,10000,10
sparse_mlp_bd,Sparse MLP-BD,100,0.5801963500314621,0.5801963500314621,0.2806609221836375,0.4175358380810664,0.303565330254201,1.6761331342248116,0.3548220510885757,0.2216290831647654,2.3522781496832974,0.587591333308292,10000,10
sparse_mlp_bd,Sparse MLP-BD,500,0.6007760735452019,0.6007760735452019,0.28607252596515753,0.4828623789982234,0.3289327804336411,1.7879723689385731,0.3900938600295586,0.26378257693617013,2.4566123751638833,0.6138839191834977,10000,10
sparse_mlp_bd,Sparse MLP-BD,1000,0.4968888775587693,0.4968888775587693,0.2677537673557832,0.4473706779976307,0.3227666534325231,1.29307262159957,0.26158432578982715,0.260121401315707,1.6584175950537514,0.40300572366247717,10000,10
sparse_mlp_bd,Sparse MLP-BD,1500,0.39646425955337444,0.39646425955337444,0.28225456059021414,0.44198057778813926,0.3207660276867833,0.7948958659692839,0.12538832806761627,0.25841437089173236,0.9615023139212296,0.20305058221137787,10000,10
sparse_mlp_bd,Sparse MLP-BD,2000,0.3954448089856233,0.3954448089856233,0.26184962121129907,0.46120188342530094,0.32234221891599746,0.6783891473188114,0.09124921398543906,0.261208264034912,0.8311827846361708,0.15117685824659782,10000,10
sparse_mlp_bd,Sparse MLP-BD,3000,0.43145575303980727,0.43145575303980727,0.30780640015989896,0.5725897143789618,0.3577461644477883,0.5989029900832361,0.06193098886372567,0.29920746577617985,0.7095485879717277,0.10777636399372588,10000,10
sparse_mlp_bd,Sparse MLP-BD,4000,0.4951209101367871,0.4951209101367871,0.3566917722419854,0.6126045589958529,0.41653783566318076,0.6414850067758254,0.058693648905951835,0.35233663049676994,0.7348217295304594,0.1009972713530936,10000,10
sparse_mlp_bd,Sparse MLP-BD,5000,0.527059770478188,0.527059770478188,0.38202928417130877,0.6552975534870876,0.4570122080747727,0.6647853317413893,0.054048960671016645,0.3904797124267522,0.7531813459593918,0.0955618802476186,10000,10
dense_mlp_tanh,Dense MLP,100,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
dense_mlp_tanh,Dense MLP,500,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
dense_mlp_tanh,Dense MLP,1000,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
dense_mlp_tanh,Dense MLP,1500,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
dense_mlp_tanh,Dense MLP,2000,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
dense_mlp_tanh,Dense MLP,3000,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
dense_mlp_tanh,Dense MLP,4000,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
dense_mlp_tanh,Dense MLP,5000,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10000,10
